pattern_plain,feature,op,threshold,n,mean_rating,base_rate,shift_vs_base,like_frac,notsure_frac,dislike_frac,lean,spearman_rho
the melody's lowest note is low (≤ 68),melo_low,<=,68.0,261,-0.467,-0.355,-0.113,0.18,0.172,0.648,DISLIKE,0.151
more than 1 number of melody notes that are NOT chord tones (2 or more),melo_nonchord,>,1.0,215,-0.465,-0.355,-0.11,0.177,0.181,0.642,DISLIKE,-0.107
more than 1 number of melody notes a semitone away from the harmony (2 or more),melo_clash1,>,1.0,215,-0.465,-0.355,-0.11,0.177,0.181,0.642,DISLIKE,-0.108
the net pitch change from the first chord to the last is low (≤ 0),total_drift,<=,0.0,252,-0.464,-0.355,-0.109,0.187,0.163,0.651,DISLIKE,0.152
chord 3's top note (pitch height) is high (> 67),n11,>,67.0,227,-0.247,-0.355,0.108,0.273,0.207,0.52,LIKE,0.125
the net rise or fall of the third voice is high (> 0),v2_drift,>,0.0,223,-0.247,-0.355,0.108,0.265,0.224,0.511,LIKE,0.156
more than 2 near-unison clashes (two notes less than a semitone apart) (3 or more),clash_le1,>,2.0,221,-0.462,-0.355,-0.107,0.186,0.167,0.647,DISLIKE,-0.113
the most consonant interval inside chord 2 is high (> 1),c1_icmin,>,1.0,125,-0.248,-0.355,0.107,0.288,0.176,0.536,LIKE,0.052
average clash of the melody against the chords (0 = on-chord) is high (> 0.1),melo_fit_mean,>,0.1,216,-0.458,-0.355,-0.103,0.181,0.181,0.639,DISLIKE,-0.105
the average pitch of chord 3 is high (> 62.75),c2_mean,>,62.75,228,-0.254,-0.355,0.101,0.263,0.219,0.518,LIKE,0.118
the final chord's 2nd note (pitch height) is high (> 61),n13,>,61.0,219,-0.256,-0.355,0.099,0.256,0.233,0.511,LIKE,0.146
the most consonant interval inside chord 3 is high (> 1),c2_icmin,>,1.0,148,-0.257,-0.355,0.098,0.257,0.23,0.514,LIKE,0.057
chord 3's top note (pitch height) is low (≤ 67),n11,<=,67.0,252,-0.452,-0.355,-0.097,0.187,0.175,0.639,DISLIKE,0.125
the net rise or fall of the third voice is low (≤ 0),v2_drift,<=,0.0,256,-0.449,-0.355,-0.094,0.195,0.16,0.645,DISLIKE,0.156
the melody's highest note is high (> 72),melo_high,>,72.0,233,-0.262,-0.355,0.093,0.262,0.215,0.524,LIKE,0.137
the average pitch of chord 3 is low (≤ 62.75),c2_mean,<=,62.75,251,-0.446,-0.355,-0.091,0.195,0.163,0.641,DISLIKE,0.118
at most 2 near-unison clashes (two notes less than a semitone apart),clash_le1,<=,2.0,258,-0.264,-0.355,0.091,0.264,0.209,0.527,LIKE,-0.113
the final chord's 3rd note (pitch height) is high (> 64),n14,>,64.0,216,-0.264,-0.355,0.091,0.264,0.208,0.528,LIKE,0.145
at most 1 number of melody notes a semitone away from the harmony,melo_clash1,<=,1.0,264,-0.265,-0.355,0.09,0.269,0.197,0.534,LIKE,-0.108
at most 1 number of melody notes that are NOT chord tones,melo_nonchord,<=,1.0,264,-0.265,-0.355,0.09,0.269,0.197,0.534,LIKE,-0.107
more than 1 pitches shared (ignoring octave) between chord 3 and chord 4 (2 or more),commonpc2,>,1.0,171,-0.444,-0.355,-0.09,0.187,0.181,0.632,DISLIKE,-0.093
the melody's highest note is low (≤ 72),melo_high,<=,72.0,246,-0.443,-0.355,-0.088,0.195,0.167,0.638,DISLIKE,0.137
the average pitch of the final chord is high (> 62.25),c3_mean,>,62.25,234,-0.269,-0.355,0.086,0.261,0.209,0.53,LIKE,0.144
the net rise or fall of the top note is high (> 0),mel_drift,>,0.0,227,-0.269,-0.355,0.086,0.26,0.211,0.529,LIKE,0.142
chord 3's 2nd note (pitch height) is high (> 61),n9,>,61.0,223,-0.269,-0.355,0.086,0.269,0.193,0.538,LIKE,0.108
the net rise or fall of the top voice is high (> 0),v3_drift,>,0.0,227,-0.269,-0.355,0.086,0.26,0.211,0.529,LIKE,0.142
the final chord's top note (pitch height) is high (> 67),n15,>,67.0,215,-0.27,-0.355,0.085,0.256,0.219,0.526,LIKE,0.149
the pitch step from chord 2 to chord 3 is high (> 0),move1,>,0.0,233,-0.27,-0.355,0.085,0.253,0.223,0.524,LIKE,0.116
average clash of the melody against the chords (0 = on-chord) is low (≤ 0.1),melo_fit_mean,<=,0.1,263,-0.27,-0.355,0.085,0.266,0.198,0.536,LIKE,-0.105
the most consonant interval inside the final chord is low (≤ 1),c3_icmin,<=,1.0,324,-0.438,-0.355,-0.083,0.185,0.191,0.623,DISLIKE,0.109
the final chord's 2nd note (pitch height) is low (≤ 61),n13,<=,61.0,260,-0.438,-0.355,-0.084,0.204,0.154,0.642,DISLIKE,0.146
the average pitch of the final chord is low (≤ 62.25),c3_mean,<=,62.25,245,-0.437,-0.355,-0.082,0.196,0.171,0.633,DISLIKE,0.144
average pitch of the melody (how high it sits) is high (> 70),melo_mean,>,70.0,234,-0.274,-0.355,0.081,0.252,0.222,0.526,LIKE,0.158
the pitch step from chord 2 to chord 3 is low (≤ 0),move1,<=,0.0,246,-0.435,-0.355,-0.08,0.203,0.159,0.638,DISLIKE,0.116
more than 1 times the voices split and move in opposite directions (2 or more),contrary_moves,>,1.0,67,-0.433,-0.355,-0.078,0.164,0.239,0.597,DISLIKE,-0.052
the net rise or fall of the top voice is low (≤ 0),v3_drift,<=,0.0,252,-0.433,-0.355,-0.078,0.198,0.171,0.631,DISLIKE,0.142
the net rise or fall of the top note is low (≤ 0),mel_drift,<=,0.0,252,-0.433,-0.355,-0.078,0.198,0.171,0.631,DISLIKE,0.142
average pitch of the melody (how high it sits) is low (≤ 70),melo_mean,<=,70.0,245,-0.433,-0.355,-0.078,0.204,0.159,0.637,DISLIKE,0.158
net rise/fall of the melody (last vs first note) is high (> 0),melo_drift,>,0.0,227,-0.278,-0.355,0.077,0.26,0.203,0.537,LIKE,0.15
the melody's final note (pitch height) is high (> 70),melo_end,>,70.0,227,-0.278,-0.355,0.077,0.26,0.203,0.537,LIKE,0.15
the melody's 10th note (pitch height) is high (> 70),m9,>,70.0,227,-0.278,-0.355,0.077,0.26,0.203,0.537,LIKE,0.15
the final chord's 3rd note (pitch height) is low (≤ 64),n14,<=,64.0,263,-0.43,-0.355,-0.075,0.198,0.175,0.627,DISLIKE,0.145
chord 3's 2nd note (pitch height) is low (≤ 61),n9,<=,61.0,256,-0.43,-0.355,-0.075,0.191,0.188,0.621,DISLIKE,0.108
the melody's 6th note (pitch height) is high (> 70),m5,>,70.0,217,-0.281,-0.355,0.074,0.244,0.23,0.525,LIKE,0.155
the average pitch of the whole progression is high (> 62.44),mean_all,>,62.44,238,-0.282,-0.355,0.073,0.256,0.206,0.538,LIKE,0.11
the average pitch of the whole progression is low (≤ 62.44),mean_all,<=,62.44,241,-0.427,-0.355,-0.072,0.199,0.174,0.627,DISLIKE,0.11
the net rise or fall of the bass line is high (> 0),bass_drift,>,0.0,215,-0.284,-0.355,0.071,0.247,0.223,0.53,LIKE,0.125
the net rise or fall of the bass (lowest) voice is high (> 0),v0_drift,>,0.0,215,-0.284,-0.355,0.071,0.247,0.223,0.53,LIKE,0.125
the final chord's lowest note (pitch height) is high (> 58),n12,>,58.0,215,-0.284,-0.355,0.071,0.247,0.223,0.53,LIKE,0.125
at most 3 semitone clashes,clash_ic1,<=,3.0,296,-0.284,-0.355,0.071,0.253,0.209,0.537,LIKE,-0.148
chord 3's 3rd note (pitch height) is high (> 64),n10,>,64.0,222,-0.284,-0.355,0.071,0.248,0.221,0.532,LIKE,0.109
the melody's final note (pitch height) is low (≤ 70),melo_end,<=,70.0,252,-0.425,-0.355,-0.07,0.198,0.179,0.623,DISLIKE,0.15
the melody's 10th note (pitch height) is low (≤ 70),m9,<=,70.0,252,-0.425,-0.355,-0.07,0.198,0.179,0.623,DISLIKE,0.15
net rise/fall of the melody (last vs first note) is low (≤ 0),melo_drift,<=,0.0,252,-0.425,-0.355,-0.07,0.198,0.179,0.623,DISLIKE,0.15
the final chord's top note (pitch height) is low (≤ 67),n15,<=,67.0,264,-0.424,-0.355,-0.069,0.205,0.167,0.629,DISLIKE,0.149
chord 3's lowest note (pitch height) is high (> 58),n8,>,58.0,231,-0.286,-0.355,0.069,0.255,0.203,0.541,LIKE,0.112
chord 3's lowest note (pitch height) is low (≤ 58),n8,<=,58.0,248,-0.419,-0.355,-0.064,0.202,0.177,0.621,DISLIKE,0.112
the harshest interval inside chord 3 is high (> 5),c2_icmax,>,5.0,203,-0.291,-0.355,0.064,0.251,0.207,0.542,LIKE,0.066
the pitch range of the whole progression is high (> 16),range_all,>,16.0,179,-0.291,-0.355,0.064,0.257,0.196,0.547,LIKE,0.04
more than 1 times the top note steps upward (2 or more),mel_up,>,1.0,213,-0.291,-0.355,0.064,0.263,0.183,0.554,LIKE,0.066
the average harshness of the intervals inside chord 3 is high (> 3.5),c2_icmean,>,3.5,182,-0.291,-0.355,0.064,0.247,0.214,0.538,LIKE,0.1
the melody's 4th note (pitch height) is high (> 70),m3,>,70.0,215,-0.293,-0.355,0.062,0.237,0.233,0.53,LIKE,0.091
chord 3's 3rd note (pitch height) is low (≤ 64),n10,<=,64.0,257,-0.416,-0.355,-0.061,0.21,0.163,0.626,DISLIKE,0.109
the melody's 6th note (pitch height) is low (≤ 70),m5,<=,70.0,262,-0.416,-0.355,-0.061,0.214,0.156,0.63,DISLIKE,0.155
the gap between the two highest notes of chord 3 is high (> 3),c2_gap2,>,3.0,176,-0.295,-0.355,0.059,0.256,0.193,0.551,LIKE,0.073
more than 2 times all four voices move the same direction together (3 or more),parallel_moves,>,2.0,95,-0.295,-0.355,0.06,0.242,0.221,0.537,LIKE,0.016
more than 1 notes held over from chord 3 to chord 4 (2 or more),common2,>,1.0,116,-0.414,-0.355,-0.059,0.198,0.19,0.612,DISLIKE,-0.088
the melody's 5th note (pitch height) is high (> 70),m4,>,70.0,216,-0.296,-0.355,0.059,0.241,0.222,0.537,LIKE,0.133
the net rise or fall of the bass (lowest) voice is low (≤ 0),v0_drift,<=,0.0,264,-0.413,-0.355,-0.058,0.212,0.163,0.625,DISLIKE,0.125
the final chord's lowest note (pitch height) is low (≤ 58),n12,<=,58.0,264,-0.413,-0.355,-0.058,0.212,0.163,0.625,DISLIKE,0.125
the net rise or fall of the bass line is low (≤ 0),bass_drift,<=,0.0,264,-0.413,-0.355,-0.058,0.212,0.163,0.625,DISLIKE,0.125
more than 3 number of upward steps in the melody (4 or more),melo_up,>,3.0,188,-0.298,-0.355,0.057,0.25,0.202,0.548,LIKE,0.084
the harshest interval inside chord 1 is high (> 5),c0_icmax,>,5.0,215,-0.409,-0.355,-0.054,0.209,0.172,0.619,DISLIKE,-0.071
how widely chord 1 spans within a single octave is low (≤ 9),c0_pcspread,<=,9.0,335,-0.409,-0.355,-0.054,0.209,0.173,0.618,DISLIKE,0.099
the biggest single jump any voice makes between chords is high (> 7),max_voice_leap,>,7.0,167,-0.407,-0.355,-0.052,0.21,0.174,0.617,DISLIKE,-0.004
at most 1 times the top note steps upward,mel_up,<=,1.0,266,-0.406,-0.355,-0.051,0.199,0.195,0.605,DISLIKE,0.066
the melody's 4th note (pitch height) is low (≤ 70),m3,<=,70.0,264,-0.405,-0.355,-0.05,0.22,0.155,0.625,DISLIKE,0.091
at most 1 pitches shared (ignoring octave) between chord 3 and chord 4,commonpc2,<=,1.0,308,-0.305,-0.355,0.05,0.25,0.195,0.555,LIKE,-0.093
"more than 10 distinct pitches used, ignoring octave (11 or more)",pc_distinct,>,10.0,82,-0.305,-0.355,0.05,0.244,0.207,0.549,LIKE,0.061
the melody's 5th note (pitch height) is low (≤ 70),m4,<=,70.0,263,-0.403,-0.355,-0.048,0.217,0.163,0.62,DISLIKE,0.133
the harshest interval inside chord 3 is low (≤ 5),c2_icmax,<=,5.0,276,-0.402,-0.355,-0.047,0.21,0.178,0.612,DISLIKE,0.066
more than 1 notes held over from chord 2 to chord 3 (2 or more),common1,>,1.0,115,-0.4,-0.355,-0.045,0.209,0.183,0.609,DISLIKE,0.01
the most consonant interval inside chord 3 is low (≤ 1),c2_icmin,<=,1.0,331,-0.399,-0.355,-0.044,0.215,0.172,0.613,DISLIKE,0.057
the melody's 2nd note (pitch height) is high (> 70),m1,>,70.0,132,-0.311,-0.355,0.044,0.227,0.235,0.538,LIKE,0.088
the harshest interval inside chord 1 is low (≤ 5),c0_icmax,<=,5.0,264,-0.311,-0.355,0.044,0.242,0.205,0.553,LIKE,-0.071
more than 1 upward moves between chords (2 or more),contour_up,>,1.0,232,-0.315,-0.355,0.04,0.246,0.194,0.56,LIKE,0.08
the average harshness of the intervals inside chord 3 is low (≤ 3.5),c2_icmean,<=,3.5,297,-0.394,-0.355,-0.039,0.215,0.175,0.609,DISLIKE,0.1
at most 3 repetitions of the single most-repeated pitch,pc_max,<=,3.0,377,-0.316,-0.355,0.039,0.241,0.202,0.557,LIKE,-0.117
the pitch range of the whole progression is low (≤ 16),range_all,<=,16.0,300,-0.393,-0.355,-0.038,0.21,0.187,0.603,DISLIKE,0.04
the average pitch of chord 1 is high (> 62.5),c0_mean,>,62.5,201,-0.393,-0.355,-0.038,0.209,0.189,0.602,DISLIKE,-0.056
at most 1 upward moves between chords,contour_up,<=,1.0,247,-0.393,-0.355,-0.038,0.211,0.186,0.603,DISLIKE,0.08
the most consonant interval inside chord 2 is low (≤ 1),c1_icmin,<=,1.0,354,-0.393,-0.355,-0.038,0.206,0.195,0.599,DISLIKE,0.052
at most 3 number of upward steps in the melody,melo_up,<=,3.0,291,-0.392,-0.355,-0.037,0.213,0.182,0.605,DISLIKE,0.084
the gap between the two highest notes of the final chord is high (> 3),c3_gap2,>,3.0,179,-0.318,-0.355,0.036,0.251,0.179,0.57,LIKE,0.038
chord 2's lowest note (pitch height) is high (> 58),n4,>,58.0,220,-0.318,-0.355,0.037,0.241,0.2,0.559,LIKE,0.047
chord 1's 2nd note (pitch height) is high (> 61),n1,>,61.0,197,-0.391,-0.355,-0.036,0.208,0.193,0.599,DISLIKE,-0.09
the gap between the two lowest notes of chord 1 is high (> 3),c0_gap0,>,3.0,197,-0.391,-0.355,-0.036,0.208,0.193,0.599,DISLIKE,-0.09
the pitch step from chord 3 to chord 4 is high (> 0),move2,>,0.0,238,-0.319,-0.355,0.036,0.248,0.185,0.567,LIKE,0.086
how spread-out the notes of the final chord are is high (> 3.39),c3_std,>,3.39,238,-0.319,-0.355,0.036,0.244,0.193,0.563,LIKE,0.072
how spread-out the notes of the final chord are is low (≤ 3.39),c3_std,<=,3.39,241,-0.39,-0.355,-0.035,0.212,0.187,0.602,DISLIKE,0.072
the pitch step from chord 3 to chord 4 is low (≤ 0),move2,<=,0.0,241,-0.39,-0.355,-0.035,0.207,0.195,0.598,DISLIKE,0.086
more than 5 close clashes (two notes within a whole tone) (6 or more),clash_le2,>,5.0,190,-0.389,-0.355,-0.035,0.216,0.179,0.605,DISLIKE,-0.057
the tightest interval between any two notes is low (≤ 1),min_interval,<=,1.0,447,-0.389,-0.355,-0.034,0.21,0.19,0.6,DISLIKE,0.15
the gap between the two highest notes of chord 3 is low (≤ 3),c2_gap2,<=,3.0,303,-0.389,-0.355,-0.035,0.211,0.188,0.601,DISLIKE,0.073
the total distance the second-lowest voice travels is high (> 9),v1_leap,>,9.0,226,-0.389,-0.355,-0.034,0.204,0.204,0.593,DISLIKE,-0.016
chord 2's top note (pitch height) is high (> 67),n7,>,67.0,215,-0.321,-0.355,0.034,0.242,0.195,0.563,LIKE,0.033
"the spread of the final chord, lowest to highest note is high (> 9)",c3_span,>,9.0,196,-0.321,-0.355,0.033,0.24,0.199,0.561,LIKE,0.078
how spread-out all the notes are in pitch is low (≤ 4.33),std_all,<=,4.33,240,-0.388,-0.355,-0.033,0.217,0.179,0.604,DISLIKE,0.04
how spread-out all the notes are in pitch is high (> 4.33),std_all,>,4.33,239,-0.322,-0.355,0.033,0.238,0.201,0.561,LIKE,0.04
how evenly the twelve pitches are used is high (> 3.16),pc_entropy,>,3.16,233,-0.322,-0.355,0.033,0.24,0.197,0.562,LIKE,0.08
more than 1 pitches shared (ignoring octave) between chord 1 and chord 2 (2 or more),commonpc0,>,1.0,189,-0.386,-0.355,-0.031,0.243,0.127,0.63,DISLIKE,-0.046
chord 2's lowest note (pitch height) is low (≤ 58),n4,<=,58.0,259,-0.386,-0.355,-0.031,0.216,0.181,0.602,DISLIKE,0.047
how evenly the twelve pitches are used is low (≤ 3.16),pc_entropy,<=,3.16,246,-0.386,-0.355,-0.031,0.215,0.183,0.602,DISLIKE,0.08
the total distance the second-lowest voice travels is low (≤ 9),v1_leap,<=,9.0,253,-0.324,-0.355,0.031,0.249,0.178,0.573,LIKE,-0.016
the gap between the two lowest notes of the final chord is high (> 3),c3_gap0,>,3.0,207,-0.324,-0.355,0.031,0.227,0.222,0.551,LIKE,0.065
chord 1's top note (pitch height) is high (> 67),n3,>,67.0,174,-0.385,-0.355,-0.03,0.213,0.19,0.598,DISLIKE,-0.025
"the spread of chord 1, lowest to highest note is high (> 9)",c0_span,>,9.0,174,-0.385,-0.355,-0.03,0.213,0.19,0.598,DISLIKE,-0.025
chord 2's 3rd note (pitch height) is high (> 64),n6,>,64.0,213,-0.385,-0.355,-0.03,0.211,0.192,0.596,DISLIKE,0.025
the average harshness of the intervals inside the final chord is high (> 3.5),c3_icmean,>,3.5,203,-0.325,-0.355,0.03,0.246,0.182,0.571,NOT SURE / neutral,0.087
the gap between the 2nd and 3rd notes of chord 1 is high (> 3),c0_gap1,>,3.0,175,-0.326,-0.355,0.029,0.24,0.194,0.566,NOT SURE / neutral,0.014
chord 2's top note (pitch height) is low (≤ 67),n7,<=,67.0,264,-0.383,-0.355,-0.028,0.216,0.186,0.598,NOT SURE / neutral,0.033
the average pitch of chord 1 is low (≤ 62.5),c0_mean,<=,62.5,278,-0.327,-0.355,0.028,0.241,0.191,0.568,NOT SURE / neutral,-0.056
the harshest interval inside chord 2 is high (> 5),c1_icmax,>,5.0,208,-0.327,-0.355,0.028,0.26,0.154,0.587,NOT SURE / neutral,0.033
the biggest single jump any voice makes between chords is low (≤ 7),max_voice_leap,<=,7.0,312,-0.327,-0.355,0.028,0.237,0.199,0.564,NOT SURE / neutral,-0.004
more than 2 number of times the melody changes direction (3 or more),melo_turns,>,2.0,225,-0.382,-0.355,-0.027,0.222,0.173,0.604,NOT SURE / neutral,-0.023
more than 6 number of distinct pitch-classes in the melody (7 or more),melo_distinct_pc,>,6.0,180,-0.328,-0.355,0.027,0.233,0.206,0.561,NOT SURE / neutral,-0.011
chord 1's 3rd note (pitch height) is high (> 64),n2,>,64.0,176,-0.381,-0.355,-0.026,0.205,0.21,0.585,NOT SURE / neutral,-0.048
the total movement of the top note across the chords is high (> 11),mel_motion,>,11.0,215,-0.381,-0.355,-0.026,0.223,0.172,0.605,NOT SURE / neutral,-0.015
the total distance the top voice travels is high (> 11),v3_leap,>,11.0,215,-0.381,-0.355,-0.026,0.223,0.172,0.605,NOT SURE / neutral,-0.015
the total distance all four voices travel is high (> 38),voice_leap_total,>,38.0,237,-0.329,-0.355,0.026,0.245,0.181,0.574,NOT SURE / neutral,-0.016
the average harshness of the intervals inside chord 1 is high (> 3.5),c0_icmean,>,3.5,205,-0.38,-0.355,-0.026,0.229,0.161,0.61,NOT SURE / neutral,-0.036
"the spread of chord 2, lowest to highest note is high (> 9)",c1_span,>,9.0,192,-0.38,-0.355,-0.025,0.198,0.224,0.578,NOT SURE / neutral,0.021
the total distance all four voices travel is low (≤ 38),voice_leap_total,<=,38.0,242,-0.38,-0.355,-0.025,0.211,0.198,0.591,NOT SURE / neutral,-0.016
chord 1's 2nd note (pitch height) is low (≤ 61),n1,<=,61.0,282,-0.33,-0.355,0.025,0.241,0.188,0.571,NOT SURE / neutral,-0.09
the gap between the two lowest notes of chord 1 is low (≤ 3),c0_gap0,<=,3.0,282,-0.33,-0.355,0.025,0.241,0.188,0.571,NOT SURE / neutral,-0.09
the gap between the two lowest notes of the final chord is low (≤ 3),c3_gap0,<=,3.0,272,-0.379,-0.355,-0.024,0.228,0.165,0.607,NOT SURE / neutral,0.065
the pitch range covered by the top note is low (≤ 7),mel_range,<=,7.0,243,-0.379,-0.355,-0.024,0.222,0.177,0.601,NOT SURE / neutral,0.02
at most 2 number of times the melody changes direction,melo_turns,<=,2.0,254,-0.331,-0.355,0.024,0.232,0.205,0.563,NOT SURE / neutral,-0.023
the pitch range covered by the top note is high (> 7),mel_range,>,7.0,236,-0.331,-0.355,0.024,0.233,0.203,0.564,NOT SURE / neutral,0.02
chord 2's 3rd note (pitch height) is low (≤ 64),n6,<=,64.0,266,-0.331,-0.355,0.024,0.241,0.188,0.571,NOT SURE / neutral,0.025
"the spread of the final chord, lowest to highest note is low (≤ 9)",c3_span,<=,9.0,283,-0.378,-0.355,-0.023,0.219,0.184,0.597,NOT SURE / neutral,0.078
at most 5 close clashes (two notes within a whole tone),clash_le2,<=,5.0,289,-0.332,-0.355,0.023,0.235,0.197,0.567,NOT SURE / neutral,-0.057
the gap between the two highest notes of the final chord is low (≤ 3),c3_gap2,<=,3.0,300,-0.377,-0.355,-0.022,0.213,0.197,0.59,NOT SURE / neutral,0.038
how widely chord 2 spans within a single octave is high (> 8),c1_pcspread,>,8.0,191,-0.377,-0.355,-0.022,0.215,0.194,0.592,NOT SURE / neutral,-0.02
the average harshness of the intervals inside the final chord is low (≤ 3.5),c3_icmean,<=,3.5,276,-0.377,-0.355,-0.022,0.214,0.196,0.591,NOT SURE / neutral,0.087
the total distance the top voice travels is low (≤ 11),v3_leap,<=,11.0,264,-0.333,-0.355,0.022,0.231,0.205,0.564,NOT SURE / neutral,-0.015
the total movement of the top note across the chords is low (≤ 11),mel_motion,<=,11.0,264,-0.333,-0.355,0.022,0.231,0.205,0.564,NOT SURE / neutral,-0.015
the harshest interval inside chord 2 is low (≤ 5),c1_icmax,<=,5.0,271,-0.376,-0.355,-0.021,0.203,0.218,0.579,NOT SURE / neutral,0.033
at most 1 pitches shared (ignoring octave) between chord 1 and chord 2,commonpc0,<=,1.0,290,-0.334,-0.355,0.02,0.217,0.231,0.552,NOT SURE / neutral,-0.046
how widely chord 3 spans within a single octave is high (> 8),c2_pcspread,>,8.0,208,-0.375,-0.355,-0.02,0.226,0.173,0.601,NOT SURE / neutral,0.013
the total distance the third voice travels is high (> 10),v2_leap,>,10.0,216,-0.375,-0.355,-0.02,0.231,0.162,0.606,NOT SURE / neutral,-0.028
more than 1 notes held over from chord 1 to chord 2 (2 or more),common0,>,1.0,123,-0.374,-0.355,-0.019,0.244,0.138,0.618,NOT SURE / neutral,-0.001
the gap between the 2nd and 3rd notes of the final chord is high (> 3),c3_gap1,>,3.0,182,-0.374,-0.355,-0.019,0.203,0.22,0.577,NOT SURE / neutral,0.053
how spread-out the notes of chord 3 are is high (> 3.49),c2_std,>,3.49,230,-0.374,-0.355,-0.019,0.209,0.209,0.583,NOT SURE / neutral,0.032
the average harshness of the intervals inside chord 1 is low (≤ 3.5),c0_icmean,<=,3.5,274,-0.336,-0.355,0.019,0.226,0.212,0.562,NOT SURE / neutral,-0.036
at most 1 notes held over from chord 3 to chord 4,common2,<=,1.0,363,-0.336,-0.355,0.019,0.237,0.19,0.573,NOT SURE / neutral,-0.088
how far the melody clears the top of the chords is high (> -3),melo_above_gap,>,-3.0,212,-0.373,-0.355,-0.018,0.217,0.193,0.59,NOT SURE / neutral,-0.003
how spread-out the notes of chord 3 are is low (≤ 3.49),c2_std,<=,3.49,249,-0.337,-0.355,0.018,0.245,0.173,0.582,NOT SURE / neutral,0.032
the melody's 2nd note (pitch height) is low (≤ 70),m1,<=,70.0,347,-0.372,-0.355,-0.017,0.228,0.173,0.599,NOT SURE / neutral,0.088
the gap between the two lowest notes of chord 3 is high (> 3),c2_gap0,>,3.0,188,-0.372,-0.355,-0.017,0.218,0.191,0.59,NOT SURE / neutral,-0.025
the gap between the two highest notes of chord 1 is high (> 3),c0_gap2,>,3.0,180,-0.372,-0.355,-0.017,0.211,0.206,0.583,NOT SURE / neutral,0.015
the harshest interval inside the final chord is high (> 5),c3_icmax,>,5.0,207,-0.372,-0.355,-0.017,0.227,0.174,0.599,NOT SURE / neutral,-0.009
the gap between the 2nd and 3rd notes of chord 1 is low (≤ 3),c0_gap1,<=,3.0,304,-0.372,-0.355,-0.017,0.22,0.188,0.592,NOT SURE / neutral,0.014
"the spread of chord 2, lowest to highest note is low (≤ 9)",c1_span,<=,9.0,287,-0.338,-0.355,0.017,0.247,0.167,0.585,NOT SURE / neutral,0.021
the average pitch of chord 2 is high (> 62.5),c1_mean,>,62.5,228,-0.338,-0.355,0.017,0.232,0.197,0.57,NOT SURE / neutral,0.036
the total distance the third voice travels is low (≤ 10),v2_leap,<=,10.0,263,-0.338,-0.355,0.017,0.224,0.213,0.563,NOT SURE / neutral,-0.028
"the spread of chord 1, lowest to highest note is low (≤ 9)",c0_span,<=,9.0,305,-0.338,-0.355,0.017,0.236,0.19,0.574,NOT SURE / neutral,-0.025
chord 1's top note (pitch height) is low (≤ 67),n3,<=,67.0,305,-0.338,-0.355,0.017,0.236,0.19,0.574,NOT SURE / neutral,-0.025
the average pitch of chord 2 is low (≤ 62.5),c1_mean,<=,62.5,251,-0.371,-0.355,-0.016,0.223,0.183,0.594,NOT SURE / neutral,0.036
at most 6 number of distinct pitch-classes in the melody,melo_distinct_pc,<=,6.0,299,-0.371,-0.355,-0.016,0.224,0.181,0.595,NOT SURE / neutral,-0.011
