feature,rho,perm_p,fdr_q,fwer_p,verdict,rho_split_discovery,rank_split_discovery,split_status,agreement,plain_english,aliases
total_drift,0.14799,0.00010,0.00046,0.00180,real (strict),0.15766,17,not shortlisted,full-data only,the net pitch change from the first chord to the last,
pc_distinct,-0.14566,0.00010,0.00046,0.00220,real (strict),-0.14513,20,not shortlisted,full-data only,"distinct pitches used, ignoring octave",
pc_entropy,-0.14353,0.00010,0.00046,0.00280,real (strict),-0.13800,27,not shortlisted,full-data only,how evenly the twelve pitches are used,
v3_leap,-0.14328,0.00010,0.00046,0.00280,real (strict),-0.18353,6,confirmed only in a pair,full-data only,the total distance the top voice travels,mel_motion
c2_span,0.14081,0.00010,0.00046,0.00400,real (strict),0.14101,23,not shortlisted,full-data only,"the spread of chord 3, lowest to highest note",
c2_std,0.14045,0.00010,0.00046,0.00440,real (strict),0.13839,26,not shortlisted,full-data only,how spread-out the notes of chord 3 are,
v3_drift,0.13897,0.00020,0.00087,0.00500,real (strict),0.15179,19,not shortlisted,full-data only,the net rise or fall of the top voice,mel_drift
n11,0.13308,0.00010,0.00046,0.00930,real (strict),0.13914,25,not shortlisted,full-data only,chord 3's top note (pitch height),
mean_all,0.12820,0.00040,0.00154,0.01520,real (strict),0.13920,24,not shortlisted,full-data only,the average pitch of the whole progression,
v0_drift,0.12709,0.00030,0.00120,0.01730,real (strict),0.12520,29,not shortlisted,full-data only,the net rise or fall of the bass (lowest) voice,bass_drift
n12,0.12709,0.00030,0.00120,0.01730,real (strict),0.12520,29,not shortlisted,full-data only,the final chord's lowest note (pitch height),
v1_leap,-0.12322,0.00060,0.00213,0.02760,real (strict),-0.09215,43,not shortlisted,full-data only,the total distance the second-lowest voice travels,
c3_span,0.12089,0.00060,0.00213,0.03460,real (strict),0.16479,15,not shortlisted,full-data only,"the spread of the final chord, lowest to highest note",
c2_gap2,0.12019,0.00070,0.00240,0.03700,real (strict),0.11784,34,not shortlisted,full-data only,the gap between the two highest notes of chord 3,
bass_range,-0.11362,0.00200,0.00619,0.06329,real (FDR),-0.12924,28,not shortlisted,full-data only,the pitch range covered by the bass line,
contour_up,0.11337,0.00240,0.00720,0.06329,real (FDR),0.14185,21,not shortlisted,full-data only,upward moves between chords,
c3_std,0.11269,0.00120,0.00384,0.06649,real (FDR),0.15683,18,not shortlisted,full-data only,how spread-out the notes of the final chord are,
c3_gap0,0.11191,0.00120,0.00384,0.07069,real (FDR),0.14152,22,not shortlisted,full-data only,the gap between the two lowest notes of the final chord,
pc_max,0.10513,0.00320,0.00903,0.12919,real (FDR),0.09050,46,not shortlisted,full-data only,repetitions of the single most-repeated pitch,
c2_mean,0.10506,0.00290,0.00844,0.12919,real (FDR),0.10929,36,not shortlisted,full-data only,the average pitch of chord 3,
v0_leap,-0.10428,0.00380,0.01013,0.13509,real (FDR),-0.11403,35,not shortlisted,full-data only,the total distance the bass (lowest) voice travels,bass_motion
n10,0.10309,0.00340,0.00932,0.14759,real (FDR),0.10902,37,not shortlisted,full-data only,chord 3's 3rd note (pitch height),
move2,0.10272,0.00460,0.01193,0.15228,real (FDR),0.12360,31,not shortlisted,full-data only,the pitch step from chord 3 to chord 4,
mel_up,0.09520,0.00890,0.02248,0.27087,real (FDR),0.08236,47,not shortlisted,full-data only,times the top note steps upward,
c2_gap1,0.08787,0.01700,0.04080,0.41606,real (FDR),0.06637,52,not shortlisted,full-data only,the gap between the 2nd and 3rd notes of chord 3,
n9,0.08384,0.01920,0.04495,0.51315,real (FDR),0.09193,44,not shortlisted,full-data only,chord 3's 2nd note (pitch height),
n8,0.08350,0.02030,0.04640,0.52145,real (FDR),0.08090,49,not shortlisted,full-data only,chord 3's lowest note (pitch height),
commonpc2,-0.08272,0.01640,0.04037,0.53655,real (FDR),-0.09733,41,not shortlisted,full-data only,pitches shared (ignoring octave) between chord 3 and chord 4,
move1,0.07615,0.03250,0.07243,0.70413,not significant,0.06702,51,not shortlisted,neither,the pitch step from chord 2 to chord 3,
parallel_moves,-0.07555,0.03320,0.07243,0.71213,not significant,-0.10604,38,not shortlisted,neither,times all four voices move the same direction together,
commonpc1,0.07355,0.03510,0.07487,0.75472,not significant,0.09175,45,not shortlisted,neither,pitches shared (ignoring octave) between chord 2 and chord 3,
c3_icmean,0.07263,0.03860,0.08055,0.77592,not significant,0.04883,62,not shortlisted,neither,the average harshness of the intervals inside the final chord,
c3_gap1,0.06998,0.04860,0.09926,0.82262,not significant,0.11991,32,not shortlisted,neither,the gap between the 2nd and 3rd notes of the final chord,
range_all,-0.06734,0.05849,0.11699,0.86591,not significant,-0.08220,48,not shortlisted,neither,the pitch range of the whole progression,
min_interval,0.06694,0.06299,0.12095,0.86881,not significant,0.11808,33,not shortlisted,neither,the tightest interval between any two notes,
c2_icmin,0.06643,0.06199,0.12095,0.87071,not significant,0.05625,56,not shortlisted,neither,the most consonant interval inside chord 3,
c0_icmin,-0.06323,0.06969,0.13119,0.91141,not significant,-0.05499,58,not shortlisted,neither,the most consonant interval inside chord 1,
common2,-0.06224,0.07819,0.14435,0.91871,not significant,-0.10014,40,not shortlisted,neither,notes held over from chord 3 to chord 4,
common1,0.06168,0.08119,0.14706,0.91871,not significant,0.10229,39,not shortlisted,neither,notes held over from chord 2 to chord 3,
common0,0.05998,0.08889,0.15803,0.93641,not significant,0.03957,66,not shortlisted,neither,notes held over from chord 1 to chord 2,
n7,0.05163,0.15178,0.26493,0.99000,not significant,0.05237,60,not shortlisted,neither,chord 2's top note (pitch height),
odd_notes,-0.04415,0.21158,0.36271,0.99920,not significant,-0.00523,93,not shortlisted,neither,notes falling off the standard tuning grid,
c1_span,0.04295,0.22428,0.37773,0.99920,not significant,0.02768,79,not shortlisted,neither,"the spread of chord 2, lowest to highest note",
c1_mean,0.04268,0.23388,0.38711,0.99930,not significant,0.05380,59,not shortlisted,neither,the average pitch of chord 2,
c1_gap2,0.04185,0.24028,0.39096,0.99950,not significant,0.01067,86,not shortlisted,neither,the gap between the two highest notes of chord 2,
c1_std,0.04116,0.24738,0.39580,0.99950,not significant,0.03322,74,not shortlisted,neither,how spread-out the notes of chord 2 are,
c2_pcspread,0.04073,0.25727,0.40068,0.99950,not significant,0.05126,61,not shortlisted,neither,how widely chord 3 spans within a single octave,
n6,0.04054,0.25877,0.40068,0.99950,not significant,0.05504,57,not shortlisted,neither,chord 2's 3rd note (pitch height),
std_all,-0.03951,0.26357,0.40164,0.99960,not significant,-0.03778,68,not shortlisted,neither,how spread-out all the notes are in pitch,
c0_icmean,-0.03906,0.27547,0.41321,0.99960,not significant,-0.00017,96,not shortlisted,neither,the average harshness of the intervals inside chord 1,
n5,0.03874,0.28127,0.41542,0.99960,not significant,0.04819,63,not shortlisted,neither,chord 2's 2nd note (pitch height),
c0_gap2,0.03729,0.28717,0.41770,0.99960,not significant,0.03620,69,not shortlisted,neither,the gap between the two highest notes of chord 1,
n4,0.03710,0.30277,0.43382,0.99980,not significant,0.06140,54,not shortlisted,neither,chord 2's lowest note (pitch height),
contrary_moves,0.03549,0.31217,0.44071,1.00000,not significant,0.07183,50,not shortlisted,neither,times the voices split and move in opposite directions,
c1_icmean,0.03224,0.36716,0.50422,1.00000,not significant,0.01983,83,not shortlisted,neither,the average harshness of the intervals inside chord 2,
c2_icmean,0.03210,0.36766,0.50422,1.00000,not significant,0.00804,91,not shortlisted,neither,the average harshness of the intervals inside chord 3,
move0,0.03119,0.38896,0.51151,1.00000,not significant,0.03870,67,not shortlisted,neither,the pitch step from chord 1 to chord 2,
c0_span,0.03091,0.37936,0.50582,1.00000,not significant,0.03347,72,not shortlisted,neither,"the spread of chord 1, lowest to highest note",
n3,0.03091,0.37936,0.50582,1.00000,not significant,0.03347,72,not shortlisted,neither,chord 1's top note (pitch height),
c1_gap0,0.02922,0.41006,0.53197,1.00000,not significant,-0.00768,92,not shortlisted,neither,the gap between the two lowest notes of chord 2,
c3_icmin,0.02810,0.42356,0.54215,1.00000,not significant,0.03149,76,not shortlisted,neither,the most consonant interval inside the final chord,
c0_std,0.02764,0.43186,0.54550,1.00000,not significant,0.03397,71,not shortlisted,neither,how spread-out the notes of chord 1 are,
chord0_eq_2,-0.02747,0.83372,0.87953,1.00000,not significant,-0.03545,70,not shortlisted,neither,cases where chord 1 and chord 3 are identical,
c0_mean,0.02627,0.45015,0.56123,1.00000,not significant,0.03162,75,not shortlisted,neither,the average pitch of chord 1,
c3_icmax,-0.02564,0.47025,0.57877,1.00000,not significant,-0.09566,42,not shortlisted,neither,the harshest interval inside the final chord,
c0_icmax,-0.02488,0.48595,0.59052,1.00000,not significant,-0.02382,81,not shortlisted,neither,the harshest interval inside chord 1,
c2_gap0,0.02317,0.51075,0.61290,1.00000,not significant,0.05996,55,not shortlisted,neither,the gap between the two lowest notes of chord 3,
c1_pcspread,-0.01950,0.58054,0.68805,1.00000,not significant,0.01112,85,not shortlisted,neither,how widely chord 2 spans within a single octave,
commonpc0,0.01730,0.63004,0.73760,1.00000,not significant,-0.02080,82,not shortlisted,neither,pitches shared (ignoring octave) between chord 1 and chord 2,
n1,0.01619,0.65093,0.74393,1.00000,not significant,0.00854,88,not shortlisted,neither,chord 1's 2nd note (pitch height),
c0_gap0,0.01619,0.65093,0.74393,1.00000,not significant,0.00854,88,not shortlisted,neither,the gap between the two lowest notes of chord 1,
c0_pcspread,-0.01517,0.67533,0.76273,1.00000,not significant,-0.00913,87,not shortlisted,neither,how widely chord 1 spans within a single octave,
c3_gap2,0.01456,0.68693,0.76681,1.00000,not significant,0.00840,90,not shortlisted,neither,the gap between the two highest notes of the final chord,
c2_icmax,-0.01387,0.69673,0.76881,1.00000,not significant,-0.04674,64,not shortlisted,neither,the harshest interval inside chord 3,
n2,0.01218,0.72493,0.79083,1.00000,not significant,0.03077,77,not shortlisted,neither,chord 1's 3rd note (pitch height),
c1_gap1,0.00879,0.80892,0.87254,1.00000,not significant,0.04189,65,not shortlisted,neither,the gap between the 2nd and 3rd notes of chord 2,
c1_icmax,0.00779,0.82402,0.87895,1.00000,not significant,-0.06346,53,not shortlisted,neither,the harshest interval inside chord 2,
c1_icmin,0.00629,0.85511,0.89229,1.00000,not significant,0.01208,84,not shortlisted,neither,the most consonant interval inside chord 2,
transpositions,0.00510,0.91731,0.94690,1.00000,not significant,-0.00127,94,not shortlisted,neither,chords that are an exact pitch-shift of the one before,
c3_pcspread,-0.00298,0.93301,0.95286,1.00000,not significant,0.02799,78,not shortlisted,neither,how widely the final chord spans within a single octave,
c0_gap1,-0.00232,0.94861,0.95859,1.00000,not significant,0.02624,80,not shortlisted,neither,the gap between the 2nd and 3rd notes of chord 1,
repeats,-0.00055,1.00000,1.00000,1.00000,not significant,-0.00068,95,not shortlisted,neither,chords that exactly repeat the one before,
