feat,rho_99,p_99,rho_701,p_701,importance_99,plain_english
voice_leap_total,-0.0869,0.3926,-0.1823,0.0000,0.0249,the total distance all four voices travel
commonpc1,0.0858,0.3986,0.0702,0.0634,0.0025,pitches shared (ignoring octave) between chord 2 and chord 3
n4,0.0824,0.4172,0.0234,0.5357,0.0000,chord 2's lowest note (pitch height)
c0_mean,0.0781,0.4421,0.0320,0.3980,0.0148,the average pitch of chord 1
c3_gap1,0.0776,0.4452,0.0696,0.0656,0.0067,the gap between the 2nd and 3rd notes of the final chord
move1,-0.0756,0.4571,0.0902,0.0169,0.0274,the pitch step from chord 2 to chord 3
c0_pcspread,0.0740,0.4665,-0.0312,0.4096,0.0021,how widely chord 1 spans within a single octave
c3_icmin,0.0729,0.4735,0.0114,0.7632,0.0019,the most consonant interval inside the final chord
transpositions,0.0722,0.4778,-0.0037,0.9212,0.0004,chords that are an exact pitch-shift of the one before
c1_mean,0.0676,0.5064,0.0348,0.3570,0.0007,the average pitch of chord 2
bass_range,-0.0673,0.5079,-0.1350,0.0003,0.0006,the pitch range covered by the bass line
c1_icmin,-0.0639,0.5298,0.0123,0.7452,0.0093,the most consonant interval inside chord 2
c3_span,-0.0631,0.5347,0.1361,0.0003,0.0057,"the spread of the final chord, lowest to highest note"
c3_std,-0.0554,0.5858,0.1275,0.0007,0.0355,how spread-out the notes of the final chord are
min_interval,-0.0518,0.6103,0.0880,0.0198,0.0000,the tightest interval between any two notes
mean_all,0.0515,0.6126,0.1338,0.0004,0.0076,the average pitch of the whole progression
n3,0.0510,0.6162,0.0350,0.3550,0.0007,chord 1's top note (pitch height)
c0_span,0.0510,0.6162,0.0350,0.3550,0.0003,"the spread of chord 1, lowest to highest note"
bass_motion,0.0497,0.6255,-0.1391,0.0002,0.0026,the total movement of the bass line
v0_leap,0.0497,0.6255,-0.1391,0.0002,0.0033,the total distance the bass (lowest) voice travels
n12,0.0488,0.6313,0.1379,0.0002,0.0012,the final chord's lowest note (pitch height)
v0_drift,0.0488,0.6313,0.1379,0.0002,0.0018,the net rise or fall of the bass (lowest) voice
bass_drift,0.0488,0.6313,0.1379,0.0002,0.0005,the net rise or fall of the bass line
c0_icmax,0.0453,0.6560,-0.0395,0.2965,0.0077,the harshest interval inside chord 1
n6,0.0452,0.6569,0.0353,0.3512,0.0185,chord 2's 3rd note (pitch height)
v1_drift,-0.0406,0.6901,0.1689,0.0000,0.0242,the net rise or fall of the second-lowest voice
common1,0.0371,0.7154,0.0549,0.1468,0.0001,notes held over from chord 2 to chord 3
n11,0.0351,0.7299,0.1371,0.0003,0.0019,chord 3's top note (pitch height)
c0_icmin,-0.0334,0.7426,-0.0672,0.0754,0.0085,the most consonant interval inside chord 1
contour_up,-0.0317,0.7551,0.1248,0.0009,0.0027,upward moves between chords
odd_notes,-0.0313,0.7585,-0.0444,0.2404,0.0080,notes falling off the standard tuning grid
c3_gap2,-0.0272,0.7891,0.0151,0.6890,0.0007,the gap between the two highest notes of the final chord
n10,0.0236,0.8163,0.1027,0.0065,0.0027,chord 3's 3rd note (pitch height)
move0,0.0232,0.8199,0.0218,0.5649,0.0162,the pitch step from chord 1 to chord 2
v2_drift,0.0211,0.8361,0.1669,0.0000,0.0268,the net rise or fall of the third voice
c2_gap2,0.0206,0.8398,0.1417,0.0002,0.0039,the gap between the two highest notes of chord 3
v3_drift,-0.0165,0.8714,0.1541,0.0000,0.0001,the net rise or fall of the top voice
mel_drift,-0.0165,0.8714,0.1541,0.0000,0.0001,the net rise or fall of the top note
n8,-0.0152,0.8815,0.0890,0.0184,0.0000,chord 3's lowest note (pitch height)
n2,0.0150,0.8832,0.0285,0.4516,0.0099,chord 1's 3rd note (pitch height)
c3_icmean,0.0148,0.8840,0.0678,0.0726,0.0019,the average harshness of the intervals inside the final chord
n15,0.0139,0.8915,0.1830,0.0000,0.0090,the final chord's top note (pitch height)
c2_gap0,0.0135,0.8944,0.0155,0.6822,0.0377,the gap between the two lowest notes of chord 3
n9,-0.0130,0.8982,0.0876,0.0203,0.0242,chord 3's 2nd note (pitch height)
c2_icmean,0.0111,0.9131,0.0400,0.2908,0.0000,the average harshness of the intervals inside chord 3
n14,0.0108,0.9152,0.1850,0.0000,0.0000,the final chord's 3rd note (pitch height)
range_all,-0.0089,0.9301,-0.0820,0.0299,0.0176,the pitch range of the whole progression
parallel_moves,-0.0084,0.9341,-0.0901,0.0171,0.0033,times all four voices move the same direction together
c0_std,0.0080,0.9373,0.0376,0.3199,0.0051,how spread-out the notes of chord 1 are
move2,0.0076,0.9406,0.1249,0.0009,0.0436,the pitch step from chord 3 to chord 4
total_drift,-0.0063,0.9508,0.1637,0.0000,0.0008,the net pitch change from the first chord to the last
mel_up,0.0062,0.9514,0.0980,0.0094,0.0000,times the top note steps upward
std_all,-0.0050,0.9610,-0.0477,0.2073,0.0086,how spread-out all the notes are in pitch
n5,0.0046,0.9642,0.0352,0.3520,0.0183,chord 2's 2nd note (pitch height)
n13,-0.0041,0.9677,0.1755,0.0000,0.0000,the final chord's 2nd note (pitch height)
c2_mean,0.0028,0.9779,0.1082,0.0041,0.0102,the average pitch of chord 3
c3_mean,0.0024,0.9813,0.1738,0.0000,0.0009,the average pitch of the final chord
c3_icmax,0.0000,1.0000,-0.0362,0.3380,0.0001,the harshest interval inside the final chord
